budget_change,budget,media_effect,dig_pct,rad_pct,tv_pct
-20,2426.26316,24391.484887592214,53.86260156128362,46.13739843871639,1.689993445510527e-15
-10,2729.546055,25139.204058725736,53.86648956629696,46.13351093288425,0.0
0,3032.8289499999996,25809.626579991964,53.87154983474426,46.128450248479155,0.0
10,3336.111845,26417.24719006294,53.87169017140199,46.128311450397206,0.0
20,3639.3947399999993,26972.830407069232,53.878891011536254,46.12110898910629,2.500765703526434e-15
30,3942.6776349999996,27484.59066561989,53.88015412730861,46.11984587337303,0.0
